,ageMean,marMean,ageDiff,marStd
0,1.205,20.373051223290606,1.205,4.777639779282543
1,3.005,35.52232581152421,0.595,6.646498119572875
2,1.395,7.39022726756712,1.395,3.0197501967665668
3,3.1950000000000003,52.93669696837723,0.405,24.46776028553666
4,1.8,23.287655543323872,1.8,6.445007485347308
5,4.05,36.2291886535761,0.44999999999999996,7.762292048436185
6,4.85,44.624830856079235,0.3500000000000001,7.775515410216497
7,5.4,59.21868124211176,0.19999999999999973,13.40972024141637
8,6.15,37.556110009429105,0.5500000000000003,7.898010881505396
9,7.35,53.281330621092536,0.6499999999999999,9.634709529236739
10,8.5,37.26713565986875,0.5,8.923728543651176
11,10.45,26.5723985635827,1.4500000000000002,7.1138789750301
12,12.695,30.674770492923678,0.7949999999999999,7.686406474368442
13,15.75,15.266656393126892,2.2600000000000007,3.9094498205582067
14,20.275,15.734158872075417,2.264999999999999,3.5738121331398274
15,24.009999999999998,23.734544074555814,1.4700000000000006,8.266760362219102
16,33.269999999999996,4.74222215786296,10.73,2.193498721915291
17,46.79,17.7449394231449,2.789999999999999,10.07324792891627
