,ageMean,marMean,ageDiff,marStd
0,1.83,44.994804375029155,1.83,18.402656420721407
1,4.890000000000001,178.17825784692948,1.23,82.87483189867159
2,8.365,77.63978805354223,2.2449999999999997,28.1620979757573
3,11.715,118.03774050721582,1.1050000000000004,44.21270593267925
4,15.040000000000001,34.3129358950637,2.2200000000000006,13.195765240526823
5,20.340000000000003,34.5624673857696,3.08,16.74369499021717
6,24.46,186.3147908318406,1.0399999999999991,94.45596811114436
7,29.465,35.85744413930597,3.965,19.802122427839112
8,34.8,90.02696144393592,1.370000000000001,28.149170447692782
9,38.09,65.26157687800287,1.9199999999999982,13.880574387807002
10,40.805,74.20003526640049,0.7950000000000017,20.891441581581585
11,42.510000000000005,54.42825280707992,0.9100000000000001,9.941213601755697
12,48.275000000000006,29.115640906078433,4.855,3.9836643950579966
