,age,mar
0,0.0,35.44213421337139
1,0.1,35.44213421337139
2,0.2,35.44213421337139
3,0.30000000000000004,35.44213421337139
4,0.4,35.44213421337139
5,0.5,35.44213421337139
6,0.6000000000000001,35.44213421337139
7,0.7000000000000001,35.44213421337139
8,0.8,35.44213421337139
9,0.9,35.44213421337139
10,1.0,35.44213421337139
11,1.1,35.44213421337139
12,1.2000000000000002,35.44213421337139
13,1.3,35.44213421337139
14,1.4000000000000001,35.44213421337139
15,1.5,35.44213421337139
16,1.6,35.44213421337139
17,1.7000000000000002,35.44213421337139
18,1.8,35.44213421337139
19,1.9000000000000001,35.44213421337139
20,2.0,33.7449649617309
21,2.1,33.7449649617309
22,2.2,33.7449649617309
23,2.3000000000000003,33.7449649617309
24,2.4000000000000004,34.47679443116872
25,2.5,34.47679443116872
26,2.6,34.47679443116872
27,2.7,34.47679443116872
28,2.8000000000000003,34.47679443116872
29,2.9000000000000004,34.47679443116872
30,3.0,34.47679443116872
31,3.1,34.47679443116872
32,3.2,34.47679443116872
33,3.3000000000000003,34.47679443116872
34,3.4000000000000004,34.47679443116872
35,3.5,34.47679443116872
36,3.6,40.9526526236493
37,3.7,107.54437935959946
38,3.8000000000000003,114.1131910876124
39,3.9000000000000004,114.1131910876124
40,4.0,89.08912892346474
41,4.1000000000000005,89.08912892346474
42,4.2,89.08912892346474
43,4.3,89.08912892346474
44,4.4,89.08912892346474
45,4.5,89.08912892346474
46,4.6000000000000005,89.08912892346474
47,4.7,89.08912892346474
48,4.800000000000001,89.08912892346474
49,4.9,89.08912892346474
50,5.0,89.08912892346474
51,5.1000000000000005,89.08912892346474
52,5.2,89.08912892346474
53,5.300000000000001,89.08912892346474
54,5.4,89.08912892346474
55,5.5,89.08912892346474
56,5.6000000000000005,97.0070981071731
57,5.7,97.0070981071731
58,5.800000000000001,97.0070981071731
59,5.9,97.0070981071731
60,6.0,97.0070981071731
61,6.1000000000000005,97.0070981071731
62,6.2,46.737863210479475
63,6.300000000000001,46.737863210479475
64,6.4,46.737863210479475
65,6.5,46.737863210479475
66,6.6000000000000005,46.737863210479475
67,6.7,46.737863210479475
68,6.800000000000001,46.737863210479475
69,6.9,46.737863210479475
70,7.0,46.737863210479475
71,7.1000000000000005,46.737863210479475
72,7.2,46.737863210479475
73,7.300000000000001,46.737863210479475
74,7.4,46.737863210479475
75,7.5,46.737863210479475
76,7.6000000000000005,46.737863210479475
77,7.7,46.737863210479475
78,7.800000000000001,46.737863210479475
79,7.9,46.737863210479475
80,8.0,46.737863210479475
81,8.1,46.737863210479475
82,8.200000000000001,46.737863210479475
83,8.3,46.737863210479475
84,8.4,46.737863210479475
85,8.5,46.737863210479475
86,8.6,46.737863210479475
87,8.700000000000001,46.737863210479475
88,8.8,46.737863210479475
89,8.9,46.737863210479475
90,9.0,46.737863210479475
91,9.1,46.737863210479475
92,9.200000000000001,46.737863210479475
93,9.3,46.737863210479475
94,9.4,46.737863210479475
95,9.5,46.737863210479475
96,9.600000000000001,61.27028972249417
97,9.700000000000001,61.27028972249417
98,9.8,61.27028972249417
99,9.9,61.27028972249417
100,10.0,61.27028972249417
101,10.100000000000001,61.27028972249417
102,10.200000000000001,61.27028972249417
103,10.3,61.27028972249417
104,10.4,61.27028972249417
105,10.5,61.27028972249417
106,10.600000000000001,50.11001253189693
107,10.700000000000001,70.30898875873372
108,10.8,70.30898875873372
109,10.9,59.01887025360791
110,11.0,59.01887025360791
111,11.100000000000001,59.01887025360791
112,11.200000000000001,59.01887025360791
113,11.3,59.01887025360791
114,11.4,59.01887025360791
115,11.5,59.01887025360791
116,11.600000000000001,59.01887025360791
117,11.700000000000001,59.01887025360791
118,11.8,59.01887025360791
119,11.9,59.01887025360791
120,12.0,59.01887025360791
121,12.100000000000001,59.01887025360791
122,12.200000000000001,59.01887025360791
123,12.3,59.01887025360791
124,12.4,72.27507680941316
125,12.5,72.27507680941316
126,12.600000000000001,72.27507680941316
127,12.700000000000001,72.27507680941316
128,12.8,72.27507680941316
129,12.9,30.412674503337108
130,13.0,30.412674503337108
131,13.100000000000001,30.412674503337108
132,13.200000000000001,30.412674503337108
133,13.3,30.412674503337108
134,13.4,30.412674503337108
135,13.5,30.412674503337108
136,13.600000000000001,27.58823780931413
137,13.700000000000001,27.58823780931413
138,13.8,27.58823780931413
139,13.9,27.58823780931413
140,14.0,27.58823780931413
141,14.100000000000001,27.58823780931413
142,14.200000000000001,27.58823780931413
143,14.3,27.58823780931413
144,14.4,27.58823780931413
145,14.5,27.58823780931413
146,14.600000000000001,27.58823780931413
147,14.700000000000001,27.58823780931413
148,14.8,27.58823780931413
149,14.9,27.58823780931413
150,15.0,27.58823780931413
151,15.100000000000001,27.58823780931413
152,15.200000000000001,27.58823780931413
153,15.3,27.58823780931413
154,15.4,27.58823780931413
155,15.5,27.58823780931413
156,15.600000000000001,27.58823780931413
157,15.700000000000001,27.58823780931413
158,15.8,27.58823780931413
159,15.9,27.58823780931413
160,16.0,35.23654344564798
161,16.1,35.23654344564798
162,16.2,35.23654344564798
163,16.3,35.23654344564798
164,16.400000000000002,35.23654344564798
165,16.5,35.23654344564798
166,16.6,35.23654344564798
167,16.7,35.23654344564798
168,16.8,43.096709979498925
169,16.900000000000002,43.096709979498925
170,17.0,43.096709979498925
171,17.1,43.096709979498925
172,17.2,43.096709979498925
173,17.3,43.22147572485188
174,17.400000000000002,43.22147572485188
175,17.5,43.22147572485188
176,17.6,43.22147572485188
177,17.7,43.22147572485188
178,17.8,17.2812336928848
