,ageMean,marMean,ageDiff,marStd
0,0.835,38.450235869551385,0.835,13.019030373900572
1,2.2249999999999996,27.62067476696779,0.5549999999999999,9.02984511079374
2,3.3099999999999996,39.87645222378677,0.53,13.189822041741214
3,4.675,48.16103926810778,0.835,12.95653864925201
4,6.5649999999999995,51.17244907808679,1.0550000000000002,10.10610685784626
5,9.05,32.95976670650252,1.4300000000000002,5.948498648861163
6,12.21,11.3641265074465,1.7299999999999995,4.957290085502282
7,16.445,14.044872042386375,2.505,4.688397125891288
8,21.335,22.437860385104607,2.385,7.87376279331152
9,24.18,76.93025336528933,0.46000000000000085,35.83440652230667
10,28.165,42.73480821421515,3.5250000000000004,14.460084194293868
11,34.410000000000004,50.48987441575954,2.7200000000000006,26.78534795214831
12,40.425,33.924680787254424,3.294999999999998,7.935127513901335
13,50.394999999999996,38.51923322494816,6.675000000000001,5.703465820867525
