,ageMean,marMean,ageDiff,marStd
0,1.22,14.646823824387052,1.22,1.5135052557588073
1,3.62,16.238209585805862,1.18,4.620556091800822
2,1.805,26.837089128740853,1.805,11.44373225000275
3,2.4,16.943855992345483,2.4,4.636739819152297
4,5.9,33.51493083777125,1.1,18.39824592110267
5,7.615,20.10380173485104,0.6150000000000002,8.577945829326502
6,11.100000000000001,7.924734331398314,2.87,4.457179512926899
7,15.89,17.94149121376778,1.919999999999999,6.694966143712792
8,27.045,7.797161500580776,9.235000000000001,6.4832834705367715
9,39.495000000000005,52.536599913392486,3.215,14.841798862110576
10,44.365,53.16797193295489,1.6550000000000011,11.872953445003434
11,8.17,7.922839464896329,1.17,4.103851444803072
12,11.04,12.825984489019335,1.7000000000000002,5.929659269040961
13,26.685000000000002,1.1804732698265052,13.945,0.3646580094493901
14,41.115,42.66684015433765,0.48499999999999943,11.738262786842785
15,44.315,6.871832161076169,2.715,1.7636726041374522
16,47.685,27.37494669876016,0.6550000000000011,11.23432804986432
17,9.325,18.621558308397287,2.325,2.307833804483142
18,12.275,20.402055563137026,0.625,5.385248405935301
19,15.469999999999999,12.05519305464609,2.5699999999999994,2.275573629627848
20,25.285,0.8926185123683472,7.245000000000001,0.37291221092709864
21,33.394999999999996,24.702897357194573,0.8649999999999984,5.493185053187145
